Friday_of_Week,NFCI,ANFCI,Risk,Credit,Leverage,Nonfinancial_Leverage
01/08/1971,0.561712731647996,0.36260668151903,0.633964061590179,-1.87877385671809,-1.2547492690967,-0.698154707189825
01/15/1971,0.610192785752474,0.376151492087696,0.672615564274206,-1.88323936773396,-1.27317623638559,-0.705375838509516
01/22/1971,0.669149168664905,0.414846514168358,0.719996177409407,-1.88499230308943,-1.29282929445182,-0.714170716275714
01/29/1971,0.733013690755502,0.477373451776467,0.772687315522214,-1.88502008454546,-1.31359372757116,-0.724685268081491
02/05/1971,0.797482277729589,0.556471880169973,0.827157666944447,-1.88377403788766,-1.33528195752039,-0.73703167539755
02/12/1971,0.856249723282626,0.637755174596744,0.878503647259613,-1.88214556976083,-1.35762514769853,-0.751270636909247
02/19/1971,0.905133298627993,0.709348635868295,0.923740336783654,-1.88110800728848,-1.38031215641763,-0.767403631014137
02/26/1971,0.942649758927524,0.764367589676653,0.962328436747508,-1.8816859456571,-1.40294405582391,-0.785364729733718
03/05/1971,0.970705997978501,0.802966139650506,0.996610143494143,-1.88477833786341,-1.42509464252729,-0.80500883619347
03/12/1971,0.99274277371591,0.832254926681115,1.02999261107601,-1.89120462195888,-1.44626829775933,-0.826110567802258
03/19/1971,1.01449446873875,0.862518289383001,1.06771613764234,-1.90156001915065,-1.46600336930163,-0.848355370428051
03/26/1971,1.04292154657199,0.906822046826384,1.11560978950586,-1.91613031991913,-1.48380802160549,-0.871344769621433
04/02/1971,1.08295002841779,0.975171927349002,1.17736497489729,-1.9348587010265,-1.49926473281777,-0.894615916551863
04/09/1971,1.13783976199218,1.07699106673081,1.25451736159662,-1.95757268699173,-1.51197825725536,-0.917677709824098
04/16/1971,1.20571409310352,1.21515556481047,1.34427559655905,-1.9836469812129,-1.52166120084442,-0.939942880576555
04/23/1971,1.28182887708011,1.38658680576082,1.43981038869447,-2.01190187059248,-1.52814247174424,-0.960920331454224
04/30/1971,1.35621316315733,1.58050297150209,1.53163846017958,-2.04160539788869,-1.53135247992275,-0.980142906088683
05/07/1971,1.41794612336767,1.77861653874008,1.60829283640466,-2.07144961270746,-1.53133225236181,-0.997209249806859
05/14/1971,1.45264146872902,1.94781330500883,1.65591998612072,-2.10030500026393,-1.52825365253713,-1.01180559225437
05/21/1971,1.45104514445174,2.05080053073489,1.66574854612448,-2.127035266528,-1.52231374380851,-1.02371398070958
05/28/1971,1.40942691761222,2.05693960700391,1.63453511137716,-2.15052776605384,-1.51374917858806,-1.03280608861169
